NU_INSCRICAO,FAIXA_ETARIA,SEXO,ESTADO_CIVIL,RACA,NACIONALIDADE,TP_ST_CONCLUSAO,ESCOLA,NO_MUNICIPIO_ESC,NO_MUNICIPIO_PROVA,TP_PRESENCA_CN,TP_PRESENCA_CH,TP_PRESENCA_LC,TP_PRESENCA_MT,NOTA_CN,NOTA_CH,NOTA_LC,NOTA_MT,TP_LINGUA,TP_STATUS_REDACAO,COMP1,COMP2,COMP3,COMP4,COMP5,NOTA_REDACAO,INTERNET
"2,10E+11",21,M,1,parda,1,1,nao_respondeu,,Cariacica,1,1,1,1,490.7,388.6,357.8,416.0,espanhol,1.0,120.0,40.0,40.0,100.0,20.0,320.0,sim
"2,10E+11",19,F,1,parda,1,1,nao_respondeu,,Colatina,1,1,1,1,522.3,473.5,448.5,460.8,espanhol,1.0,100.0,140.0,100.0,140.0,120.0,600.0,sim
"2,10E+11",17,F,1,parda,1,2,privada,,Colatina,1,1,1,1,455.0,450.0,401.5,449.3,espanhol,1.0,160.0,160.0,140.0,160.0,160.0,780.0,sim
"2,10E+11",41_45,F,3,parda,1,1,nao_respondeu,,Vila Velha,1,1,1,1,383.7,439.0,399.1,437.6,espanhol,1.0,120.0,120.0,120.0,120.0,100.0,580.0,sim
"2,10E+11",17,M,1,parda,1,2,publica,Viana,Cariacica,1,1,1,1,407.6,542.1,525.4,464.2,ingles,1.0,120.0,120.0,120.0,160.0,140.0,660.0,nao
"2,10E+11",22,F,1,parda,1,1,nao_respondeu,,Mimoso do Sul,1,1,1,1,459.4,519.9,452.0,451.2,ingles,1.0,120.0,160.0,120.0,120.0,80.0,600.0,sim
"2,10E+11",31_35,F,1,parda,1,1,nao_respondeu,,Serra,1,1,1,1,526.7,516.9,428.7,535.4,espanhol,1.0,120.0,120.0,140.0,120.0,80.0,580.0,sim
"2,10E+11",17,F,1,parda,1,2,publica,Cariacica,Cariacica,1,1,1,1,506.9,596.7,553.8,524.9,espanhol,1.0,140.0,140.0,100.0,120.0,120.0,620.0,sim
"2,10E+11",23,F,1,branca,1,1,nao_respondeu,,Anchieta,1,1,1,1,551.1,581.1,549.9,594.2,ingles,1.0,160.0,200.0,120.0,160.0,80.0,720.0,sim
"2,10E+11",21,F,1,parda,1,1,nao_respondeu,,Cariacica,1,1,1,1,496.6,394.5,412.3,426.0,espanhol,1.0,100.0,40.0,40.0,100.0,40.0,320.0,sim
"2,10E+11",23,M,1,branca,1,1,nao_respondeu,,Vila Velha,1,1,1,1,458.7,492.9,416.2,467.1,ingles,1.0,120.0,120.0,100.0,120.0,80.0,540.0,sim
"2,10E+11",19,M,1,parda,1,2,publica,Vitória,Vitória,1,1,1,1,500.4,502.5,411.5,553.1,ingles,1.0,80.0,120.0,80.0,120.0,100.0,500.0,sim
"2,10E+11",20,M,1,parda,1,2,publica,Cariacica,Cariacica,1,1,1,1,479.6,528.5,569.3,520.8,ingles,1.0,120.0,120.0,120.0,100.0,120.0,580.0,sim
"2,10E+11",31_35,F,2,parda,1,1,nao_respondeu,,São Mateus,1,1,1,1,420.1,498.9,405.6,403.2,espanhol,1.0,120.0,120.0,120.0,120.0,160.0,640.0,sim
"2,10E+11",18,F,1,parda,2,2,publica,Vila Velha,Vila Velha,1,1,1,1,433.9,365.7,336.3,382.8,espanhol,1.0,100.0,120.0,80.0,80.0,100.0,480.0,sim
"2,10E+11",18,F,1,nao_declarado,1,2,publica,,Cariacica,1,1,1,1,526.7,535.0,595.3,575.3,espanhol,1.0,120.0,120.0,120.0,140.0,80.0,580.0,sim
"2,10E+11",36_40,M,2,amarela,1,1,nao_respondeu,,Viana,1,1,1,1,601.4,620.5,595.9,715.8,ingles,1.0,120.0,120.0,120.0,100.0,80.0,540.0,sim
"2,10E+11",31_35,F,1,parda,1,1,nao_respondeu,,Serra,1,1,1,1,404.7,410.1,363.4,461.5,ingles,1.0,120.0,120.0,80.0,80.0,0.0,400.0,nao
"2,10E+11",17,F,1,nao_declarado,1,2,publica,Cariacica,Cariacica,1,1,1,1,549.5,587.5,568.4,414.1,ingles,1.0,140.0,200.0,120.0,140.0,100.0,700.0,sim
