NU_INSCRICAO;TP_FAIXA_ETARIA;TP_SEXO;TP_ESTADO_CIVIL;TP_COR_RACA;TP_NACIONALIDADE;TP_ST_CONCLUSAO;TP_ANO_CONCLUIU;TP_ESCOLA;TP_ENSINO;IN_TREINEIRO;CO_MUNICIPIO_ESC;NO_MUNICIPIO_ESC;CO_UF_ESC;SG_UF_ESC;CO_MUNICIPIO_PROVA;NO_MUNICIPIO_PROVA;CO_UF_PROVA;SG_UF_PROVA;TP_DEPENDENCIA_ADM_ESC;TP_LOCALIZACAO_ESC;TP_SIT_FUNC_ESC;TP_PRESENCA_CN;TP_PRESENCA_CH;TP_PRESENCA_LC;TP_PRESENCA_MT;NU_NOTA_CN;NU_NOTA_CH;NU_NOTA_LC;NU_NOTA_MT;TP_LINGUA;TP_STATUS_REDACAO;NU_NOTA_COMP1;NU_NOTA_COMP2;NU_NOTA_COMP3;NU_NOTA_COMP4;NU_NOTA_COMP5;NU_NOTA_REDACAO;Q025
2,10E+11;6;M;1;3;1;1;2;1;;0;;;;;3201308;Cariacica;32;ES;;;;1;1;1;1;490.7;388.6;357.8;416;1;1;120;40;40;100;20;320;B
2,10E+11;4;F;1;3;1;1;1;1;;0;;;;;3201506;Colatina;32;ES;;;;1;1;1;1;522.3;473.5;448.5;460.8;1;1;100;140;100;140;120;600;B
2,10E+11;12;M;3;2;1;1;15;1;;0;;;;;3205002;Serra;32;ES;;;;0;0;0;0;;;;;0;;;;;;;;B
2,10E+11;2;F;1;3;1;2;0;3;1;0;;;;;3201506;Colatina;32;ES;;;;1;1;1;1;455;450;401.5;449.3;1;1;160;160;140;160;160;780;B
2,10E+11;7;M;1;0;1;1;2;1;;0;;;;;3205309;Vitória;32;ES;;;;0;0;0;0;;;;;0;;;;;;;;B
2,10E+11;12;F;3;3;1;1;5;1;;0;;;;;3205309;Vitória;32;ES;;;;0;0;0;0;;;;;1;;;;;;;;B
2,10E+11;3;F;1;1;1;2;0;2;1;0;3204708;São Gabriel da Palha;32;ES;3204708;São Gabriel da Palha;32;ES;2;1;1;0;1;1;0;;431.1;417.1;;0;1;100;120;80;100;20;420;B
2,10E+11;5;F;1;2;1;1;2;1;;0;;;;;3201308;Cariacica;32;ES;;;;0;0;0;0;;;;;0;;;;;;;;B
2,10E+11;10;M;1;2;1;1;7;1;;0;;;;;3205002;Serra;32;ES;;;;0;0;0;0;;;;;1;;;;;;;;B
2,10E+11;14;F;3;3;1;1;0;1;;0;;;;;3205200;Vila Velha;32;ES;;;;1;1;1;1;383.7;439;399.1;437.6;1;1;120;120;120;120;100;580;B
2,10E+11;4;F;1;3;1;1;0;1;;0;;;;;3205101;Viana;32;ES;;;;0;0;0;0;;;;;1;;;;;;;;B
2,10E+11;2;M;1;3;1;2;0;2;1;0;3205101;Viana;32;ES;3201308;Cariacica;32;ES;2;1;1;1;1;1;1;407.6;542.1;525.4;464.2;0;1;120;120;120;160;140;660;A
2,10E+11;7;F;1;3;1;1;4;1;;0;;;;;3203403;Mimoso do Sul;32;ES;;;;1;1;1;1;459.4;519.9;452;451.2;0;1;120;160;120;120;80;600;B
2,10E+11;12;F;1;3;1;1;0;1;;0;;;;;3205002;Serra;32;ES;;;;1;1;1;1;526.7;516.9;428.7;535.4;1;1;120;120;140;120;80;580;B
2,10E+11;2;F;1;3;1;2;0;2;1;0;3201308;Cariacica;32;ES;3201308;Cariacica;32;ES;2;1;1;1;1;1;1;506.9;596.7;553.8;524.9;1;1;140;140;100;120;120;620;B
2,10E+11;8;F;1;3;1;1;6;1;;0;;;;;3203205;Linhares;32;ES;;;;0;0;0;0;;;;;1;;;;;;;;A
2,10E+11;8;F;1;1;1;1;6;1;;0;;;;;3200409;Anchieta;32;ES;;;;1;1;1;1;551.1;581.1;549.9;594.2;0;1;160;200;120;160;80;720;B
2,10E+11;1;F;1;2;1;3;0;1;;1;;;;;3203205;Linhares;32;ES;;;;1;1;1;1;435.6;569;562.2;698.8;0;1;160;160;160;180;180;840;B
2,10E+11;6;F;1;3;1;1;1;1;;0;;;;;3201308;Cariacica;32;ES;;;;1;1;1;1;496.6;394.5;412.3;426;1;1;100;40;40;100;40;320;B
2,10E+11;6;M;1;3;1;1;3;1;;0;;;;;3203205;Linhares;32;ES;;;;0;0;0;0;;;;;1;;;;;;;;A
2,10E+11;3;M;1;3;1;2;0;2;1;0;3205101;Viana;32;ES;3205101;Viana;32;ES;2;1;1;0;2;2;0;;;;;0;;;;;;;;B
2,10E+11;8;M;1;1;1;1;5;1;;0;;;;;3205200;Vila Velha;32;ES;;;;1;1;1;1;458.7;492.9;416.2;467.1;0;1;120;120;100;120;80;540;B
2,10E+11;4;M;1;3;1;2;0;2;1;0;3205309;Vitória;32;ES;3205309;Vitória;32;ES;2;1;1;1;1;1;1;500.4;502.5;411.5;553.1;0;1;80;120;80;120;100;500;B
