NU_INSCRICAO,FAIXA_ETARIA,SEXO,ESTADO_CIVIL,RACA,NACIONALIDADE,TP_ST_CONCLUSAO,ESCOLA,IN_TREINEIRO,NO_MUNICIPIO_ESC,NO_MUNICIPIO_PROVA,TP_PRESENCA_CN,TP_PRESENCA_CH,TP_PRESENCA_LC,TP_PRESENCA_MT,NOTA_CN,NOTA_CH,NOTA_LC,NOTA_MT,TP_LINGUA,TP_STATUS_REDACAO,COMP1,COMP2,COMP3,COMP4,COMP5,NOTA_REDACAO,INTERNET
"2,10E+11",<_17,F,1,preta,1,3,nao_respondeu,1,,Linhares,1,1,1,1,435.6,569.0,562.2,698.8,ingles,1.0,160.0,160.0,160.0,180.0,180.0,840.0,sim
"2,10E+11",<_17,M,1,parda,1,3,nao_respondeu,1,,Nova Venécia,1,1,1,1,453.7,543.9,512.7,427.6,ingles,1.0,120.0,200.0,140.0,120.0,140.0,720.0,sim
"2,10E+11",18,M,1,branca,1,3,nao_respondeu,1,,Linhares,1,1,1,1,602.5,635.2,573.1,770.9,ingles,1.0,160.0,160.0,140.0,120.0,80.0,660.0,sim
"2,10E+11",17,F,1,branca,1,3,nao_respondeu,1,,Cachoeiro de Itapemirim,1,1,1,1,433.7,511.8,549.1,413.5,ingles,1.0,120.0,120.0,120.0,140.0,120.0,620.0,sim
"2,10E+11",<_17,F,1,parda,1,3,nao_respondeu,1,,Guarapari,0,0,0,0,,,,,ingles,,,,,,,,sim
"2,10E+11",<_17,F,1,branca,1,3,nao_respondeu,1,,Guaçuí,0,0,0,0,,,,,ingles,,,,,,,,sim
"2,10E+11",17,F,1,parda,1,3,nao_respondeu,1,,Vila Velha,0,1,1,0,,567.2,546.7,,espanhol,1.0,100.0,200.0,120.0,140.0,160.0,720.0,sim
"2,10E+11",18,F,1,preta,1,3,nao_respondeu,1,,Conceição da Barra,1,1,1,1,421.4,551.7,542.2,636.2,ingles,1.0,120.0,140.0,120.0,140.0,140.0,660.0,sim
"2,10E+11",<_17,M,1,parda,1,3,nao_respondeu,1,,Ecoporanga,1,1,1,1,535.6,346.0,401.3,541.6,ingles,1.0,100.0,180.0,120.0,120.0,80.0,600.0,sim
"2,10E+11",17,F,1,branca,1,3,nao_respondeu,1,,Vitória,1,1,1,1,442.3,528.2,505.6,526.6,ingles,1.0,140.0,180.0,140.0,140.0,120.0,720.0,sim
"2,10E+11",17,M,1,branca,1,3,nao_respondeu,1,,Guarapari,1,1,1,1,454.4,451.2,505.2,506.0,ingles,1.0,100.0,120.0,120.0,140.0,80.0,560.0,sim
